id,question,faithfulness_score,truth_hallucinated,predicted_hallucinated
13070,what is psa levels mean,0.0115,1,1
13071,what is psa levels mean,0.9987,0,0
13072,what is psa levels mean,0.9887,0,0
13073,what is psa levels mean,0.9995,0,0
13104,show me how can i make gragh for my research,0.9996,0,0
13105,show me how can i make gragh for my research,0.0181,1,1
13106,show me how can i make gragh for my research,0.0157,0,1
13107,show me how can i make gragh for my research,0.5632,1,1
13108,show me how can i make gragh for my research,0.0053,1,1
13109,show me how can i make gragh for my research,0.003,0,1
13128,how to soften sugar,0.9997,0,0
13129,how to soften sugar,0.999,0,0
13130,how to soften sugar,0.9997,0,0
13131,how to soften sugar,0.1008,0,1
13132,how to soften sugar,0.9992,0,0
13133,how to soften sugar,0.0068,0,1
13134,how to change the sleep time on my computer,0.9998,0,0
13135,how to change the sleep time on my computer,0.9997,0,0
13136,how to change the sleep time on my computer,0.0022,1,1
13137,how to change the sleep time on my computer,0.0171,1,1
13138,how to change the sleep time on my computer,0.9837,0,0
13139,how to change the sleep time on my computer,0.9995,0,0
13152,psychological effects of hugging,0.9983,0,0
13153,psychological effects of hugging,0.9995,0,0
13154,psychological effects of hugging,0.9993,0,0
13155,psychological effects of hugging,0.0031,1,1
13156,psychological effects of hugging,0.0027,1,1
13157,psychological effects of hugging,0.8888,1,0
13158,how to cook a small prime rib roast in oven,0.9997,0,0
13159,how to cook a small prime rib roast in oven,0.994,0,0
13160,how to cook a small prime rib roast in oven,0.6746,1,1
13161,how to cook a small prime rib roast in oven,0.0036,1,1
13162,how to cook a small prime rib roast in oven,0.0141,1,1
13163,how to cook a small prime rib roast in oven,0.0061,1,1
13206,how long does it take to make chicken tender in crock pot,0.9997,0,0
13207,how long does it take to make chicken tender in crock pot,0.9995,0,0
13208,how long does it take to make chicken tender in crock pot,0.9967,0,0
13209,how long does it take to make chicken tender in crock pot,0.1267,0,1
13210,how long does it take to make chicken tender in crock pot,0.0105,1,1
13211,how long does it take to make chicken tender in crock pot,0.9991,0,0
13230,how to attach multiple picture frames together,0.9997,0,0
13231,how to attach multiple picture frames together,0.9997,0,0
13232,how to attach multiple picture frames together,0.9993,0,0
13233,how to attach multiple picture frames together,0.9992,0,0
13234,how to attach multiple picture frames together,0.9847,0,0
13235,how to attach multiple picture frames together,0.9988,0,0
13260,leasing meaning,0.9996,0,0
13261,leasing meaning,0.9998,0,0
13262,leasing meaning,0.9975,1,0
13263,leasing meaning,0.9985,1,0
13264,leasing meaning,0.9998,0,0
13265,leasing meaning,0.9989,1,0
13290,what causes necrotizing fasciitis,0.9828,0,0
13291,what causes necrotizing fasciitis,0.9992,0,0
13292,what causes necrotizing fasciitis,0.9995,0,0
13293,what causes necrotizing fasciitis,0.9994,1,0
13294,what causes necrotizing fasciitis,0.9993,0,0
13295,what causes necrotizing fasciitis,0.9993,0,0
13308,what is chard vegetable,0.9994,0,0
13309,what is chard vegetable,0.9996,0,0
13310,what is chard vegetable,0.9997,0,0
13311,what is chard vegetable,0.2196,0,1
13312,what is chard vegetable,0.9894,0,0
13313,what is chard vegetable,0.9977,0,0
13338,differences between elements compounds and mixtures,0.9994,0,0
13339,differences between elements compounds and mixtures,0.9996,0,0
13340,differences between elements compounds and mixtures,0.0024,1,1
13341,differences between elements compounds and mixtures,0.0609,0,1
13342,differences between elements compounds and mixtures,0.0035,1,1
13343,differences between elements compounds and mixtures,0.9987,0,0
13362,how to wash wine glasses properly,0.9988,0,0
13363,how to wash wine glasses properly,0.0504,1,1
13364,how to wash wine glasses properly,0.9996,0,0
13365,how to wash wine glasses properly,0.9986,0,0
13366,how to wash wine glasses properly,0.0031,1,1
13367,how to wash wine glasses properly,0.0058,1,1
13374,how to peel potatoes fast,0.9993,0,0
13375,how to peel potatoes fast,0.9993,0,0
13376,how to peel potatoes fast,0.0102,1,1
13377,how to peel potatoes fast,0.9995,0,0
13378,how to peel potatoes fast,0.9993,0,0
13379,how to peel potatoes fast,0.9992,0,0
13428,how to fix lift valve in toilet,0.9997,0,0
13429,how to fix lift valve in toilet,0.9995,0,0
13430,how to fix lift valve in toilet,0.9994,0,0
13431,how to fix lift valve in toilet,0.9987,0,0
13432,how to fix lift valve in toilet,0.9994,0,0
13433,how to fix lift valve in toilet,0.9995,0,0
13440,oil stain on concrete driveway,0.9991,0,0
13441,oil stain on concrete driveway,0.9994,0,0
13442,oil stain on concrete driveway,0.9996,1,0
13443,oil stain on concrete driveway,0.8164,0,0
13444,oil stain on concrete driveway,0.961,0,0
13445,oil stain on concrete driveway,0.9979,0,0
13464,average weather sausalito,0.9997,0,0
13465,average weather sausalito,0.9996,0,0
13466,average weather sausalito,0.0049,0,1
13467,average weather sausalito,0.0588,0,1
13468,average weather sausalito,0.999,0,0
13469,average weather sausalito,0.0075,1,1
13488,how do crab traps work,0.9996,0,0
13489,how do crab traps work,0.9997,0,0
13490,how do crab traps work,0.9991,0,0
13491,how do crab traps work,0.4917,0,1
13492,how do crab traps work,0.9979,0,0
13493,how do crab traps work,0.9993,0,0
