id,question,faithfulness_score,truth_hallucinated,predicted_hallucinated
12519,how the body systems work together,0.015,0,1
12520,how the body systems work together,0.0058,0,1
12521,how the body systems work together,0.0846,1,1
12522,what is the difference between the leeward and windward islands?,0.0053,0,1
12523,what is the difference between the leeward and windward islands?,0.1064,0,0
12524,what is the difference between the leeward and windward islands?,0.0301,0,1
12525,what is the difference between the leeward and windward islands?,0.0172,0,1
12526,what is the difference between the leeward and windward islands?,0.0687,0,1
12527,what is the difference between the leeward and windward islands?,0.0723,0,1
12552,how are water shares transferred,0.055,0,1
12553,how are water shares transferred,0.8967,0,0
12554,how are water shares transferred,0.9111,0,0
12555,how are water shares transferred,0.7457,0,0
12556,how are water shares transferred,0.0355,0,1
12557,how are water shares transferred,0.1308,0,0
12600,teresa name meaning,0.7637,0,0
12601,teresa name meaning,0.4686,0,0
12602,teresa name meaning,0.4867,1,0
12603,teresa name meaning,0.094,0,1
12604,teresa name meaning,0.0758,0,1
12605,teresa name meaning,0.8843,0,0
12618,building a lean-to shed,0.0516,0,1
12619,building a lean-to shed,0.9649,0,0
12620,building a lean-to shed,0.1438,0,0
12621,building a lean-to shed,0.0023,0,1
12622,building a lean-to shed,0.0695,0,1
12623,building a lean-to shed,0.2196,0,0
12690,difference between vietnam and india,0.6637,0,0
12691,difference between vietnam and india,0.1351,0,0
12692,difference between vietnam and india,0.0488,1,1
12693,difference between vietnam and india,0.0254,1,1
12694,difference between vietnam and india,0.0178,1,1
12695,difference between vietnam and india,0.0123,1,1
12702,how to roast individual garlic cloves,0.9663,0,0
12703,how to roast individual garlic cloves,0.0942,0,1
12704,how to roast individual garlic cloves,0.0162,0,1
12705,how to roast individual garlic cloves,0.008,0,1
12706,how to roast individual garlic cloves,0.0307,0,1
12707,how to roast individual garlic cloves,0.0417,0,1
12762,what is the treatment when asset is discarded as per income tax act,0.338,0,0
12763,what is the treatment when asset is discarded as per income tax act,0.9825,0,0
12764,what is the treatment when asset is discarded as per income tax act,0.004,0,1
12765,what is the treatment when asset is discarded as per income tax act,0.3561,1,0
12766,what is the treatment when asset is discarded as per income tax act,0.0041,0,1
12767,what is the treatment when asset is discarded as per income tax act,0.9792,0,0
12840,how to sew a zipper gusset,0.2612,0,0
12841,how to sew a zipper gusset,0.0597,0,1
12842,how to sew a zipper gusset,0.0288,1,1
12843,how to sew a zipper gusset,0.0361,0,1
12844,how to sew a zipper gusset,0.2603,0,0
12845,how to sew a zipper gusset,0.1693,0,0
12900,how to bake hard boiled egg,0.3929,0,0
12901,how to bake hard boiled egg,0.0102,0,1
12902,how to bake hard boiled egg,0.0056,1,1
12903,how to bake hard boiled egg,0.0024,1,1
12904,how to bake hard boiled egg,0.1095,0,0
12905,how to bake hard boiled egg,0.2021,0,0
12912,what is the drawer for on bottom of oven stove,0.9819,0,0
12913,what is the drawer for on bottom of oven stove,0.9936,0,0
12914,what is the drawer for on bottom of oven stove,0.9738,0,0
12915,what is the drawer for on bottom of oven stove,0.5171,0,0
12916,what is the drawer for on bottom of oven stove,0.9939,0,0
12917,what is the drawer for on bottom of oven stove,0.9757,1,0
13038,how to factory reset a htc one vx,0.0995,0,1
13039,how to factory reset a htc one vx,0.8844,0,0
13040,how to factory reset a htc one vx,0.1068,0,0
13041,how to factory reset a htc one vx,0.2328,0,0
13042,how to factory reset a htc one vx,0.0194,1,1
13043,how to factory reset a htc one vx,0.0161,0,1
13068,what is psa levels mean,0.9661,0,0
13069,what is psa levels mean,0.9889,0,0
13070,what is psa levels mean,0.5857,1,0
13071,what is psa levels mean,0.773,0,0
13072,what is psa levels mean,0.1784,0,0
13073,what is psa levels mean,0.5707,0,0
13104,show me how can i make gragh for my research,0.6907,0,0
13105,show me how can i make gragh for my research,0.0155,1,1
13106,show me how can i make gragh for my research,0.0659,0,1
13107,show me how can i make gragh for my research,0.0021,1,1
13108,show me how can i make gragh for my research,0.0029,1,1
13109,show me how can i make gragh for my research,0.0044,0,1
13128,how to soften sugar,0.1498,0,0
13129,how to soften sugar,0.0318,0,1
13130,how to soften sugar,0.0215,0,1
13131,how to soften sugar,0.0355,0,1
13132,how to soften sugar,0.4432,0,0
13133,how to soften sugar,0.015,0,1
13134,how to change the sleep time on my computer,0.0049,0,1
13135,how to change the sleep time on my computer,0.8964,0,0
13136,how to change the sleep time on my computer,0.0019,1,1
13137,how to change the sleep time on my computer,0.0008,1,1
13138,how to change the sleep time on my computer,0.0264,0,1
13139,how to change the sleep time on my computer,0.1705,0,0
13152,psychological effects of hugging,0.0821,0,1
13153,psychological effects of hugging,0.9473,0,0
13154,psychological effects of hugging,0.3578,0,0
13155,psychological effects of hugging,0.0067,1,1
13156,psychological effects of hugging,0.0172,1,1
13157,psychological effects of hugging,0.023,1,1
13158,how to cook a small prime rib roast in oven,0.0032,0,1
13159,how to cook a small prime rib roast in oven,0.0005,0,1
13160,how to cook a small prime rib roast in oven,0.0005,1,1
13161,how to cook a small prime rib roast in oven,0.006,1,1
13162,how to cook a small prime rib roast in oven,0.0005,1,1
13163,how to cook a small prime rib roast in oven,0.0222,1,1
13206,how long does it take to make chicken tender in crock pot,0.9616,0,0
13207,how long does it take to make chicken tender in crock pot,0.9598,0,0
13208,how long does it take to make chicken tender in crock pot,0.2489,0,0
13209,how long does it take to make chicken tender in crock pot,0.9749,0,0
13210,how long does it take to make chicken tender in crock pot,0.0062,1,1
13211,how long does it take to make chicken tender in crock pot,0.0266,0,1
13230,how to attach multiple picture frames together,0.2925,0,0
13231,how to attach multiple picture frames together,0.9541,0,0
13232,how to attach multiple picture frames together,0.0166,0,1
13233,how to attach multiple picture frames together,0.0076,0,1
13234,how to attach multiple picture frames together,0.0579,0,1
13235,how to attach multiple picture frames together,0.1277,0,0
13260,leasing meaning,0.1462,0,0
13261,leasing meaning,0.9291,0,0
13262,leasing meaning,0.0021,1,1
13263,leasing meaning,0.7601,1,0
13264,leasing meaning,0.9392,0,0
13265,leasing meaning,0.6965,1,0
13290,what causes necrotizing fasciitis,0.9768,0,0
13291,what causes necrotizing fasciitis,0.9936,0,0
13292,what causes necrotizing fasciitis,0.9764,0,0
13293,what causes necrotizing fasciitis,0.4431,1,0
13294,what causes necrotizing fasciitis,0.1505,0,0
13295,what causes necrotizing fasciitis,0.7091,0,0
13308,what is chard vegetable,0.8466,0,0
13309,what is chard vegetable,0.9088,0,0
13310,what is chard vegetable,0.5774,0,0
13311,what is chard vegetable,0.296,0,0
13312,what is chard vegetable,0.456,0,0
13313,what is chard vegetable,0.0036,0,1
13338,differences between elements compounds and mixtures,0.9727,0,0
13339,differences between elements compounds and mixtures,0.913,0,0
13340,differences between elements compounds and mixtures,0.5599,1,0
13341,differences between elements compounds and mixtures,0.5715,0,0
13342,differences between elements compounds and mixtures,0.0554,1,1
13343,differences between elements compounds and mixtures,0.0216,0,1
13362,how to wash wine glasses properly,0.9651,0,0
13363,how to wash wine glasses properly,0.002,1,1
13364,how to wash wine glasses properly,0.0386,0,1
13365,how to wash wine glasses properly,0.0616,0,1
13366,how to wash wine glasses properly,0.0761,1,1
13367,how to wash wine glasses properly,0.006,1,1
13374,how to peel potatoes fast,0.1596,0,0
13375,how to peel potatoes fast,0.3782,0,0
13376,how to peel potatoes fast,0.0016,1,1
13377,how to peel potatoes fast,0.0053,0,1
13378,how to peel potatoes fast,0.0936,0,1
13379,how to peel potatoes fast,0.018,0,1
13428,how to fix lift valve in toilet,0.1849,0,0
13429,how to fix lift valve in toilet,0.823,0,0
13430,how to fix lift valve in toilet,0.0376,0,1
13431,how to fix lift valve in toilet,0.0126,0,1
13432,how to fix lift valve in toilet,0.0123,0,1
13433,how to fix lift valve in toilet,0.0075,0,1
13440,oil stain on concrete driveway,0.9874,0,0
13441,oil stain on concrete driveway,0.9919,0,0
13442,oil stain on concrete driveway,0.7451,1,0
13443,oil stain on concrete driveway,0.0074,0,1
13444,oil stain on concrete driveway,0.0074,0,1
13445,oil stain on concrete driveway,0.9647,0,0
13464,average weather sausalito,0.0136,0,1
13465,average weather sausalito,0.0874,0,1
13466,average weather sausalito,0.3353,0,0
13467,average weather sausalito,0.078,0,1
13468,average weather sausalito,0.9931,0,0
13469,average weather sausalito,0.0193,1,1
13488,how do crab traps work,0.2787,0,0
13489,how do crab traps work,0.5746,0,0
13490,how do crab traps work,0.0211,0,1
13491,how do crab traps work,0.4119,0,0
13492,how do crab traps work,0.0904,0,1
13493,how do crab traps work,0.4159,0,0
